accident_id,occr_date,daynight,wday,assault,damaged,assault_id,damaged_id,location_id,violation_id,road_type_l_id,road_type_id,acc_type_l_id,acc_type_id,acc_type_id,acc_type_l_id,acc_type,acc_type_l_id,acc_type_l,assault_id,assault,accident_id,death,serious,injured,slight,wound,damaged_id,damaged,violation_id,violation,road_type_id,road_type_l_id,road_form,road_type_l_id,road_form_l,accident_id,assault_id,damaged_id,location_id,sido,sgg,weather_id,area_id,area_nm,measure_dt,temperature,rainfall,wind_speed,wind_direction,humidity,snow_drifts,ground_temperature
25966,00:00.0,2,월,원동기장치자전거,승용차,3,16,132,3,6,13,3,15,15,2,기타,3,차대차,3,원동기장치자전거,25966,1,1,0,0,0,16,승용차,3,중앙선 침범,13,6,지하도로내,6,지하도로내,25966,3,16,132,충남,천안,478797,232,천안,00:00.0,29.1,0,2.5,290,57,0,28.1
23972,00:00.0,2,월,승용차,보행자,10,1,82,20,5,16,4,9,9,4,횡단중,4,차대사람,10,승용차,23972,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,16,5,횡단보도부근,5,단일로,23972,10,1,82,충남,보령,484725,235,보령,00:00.0,-0.7,0,0.5,290,55,0,-2.1
30516,00:00.0,2,목,승용차,승용차,10,16,82,3,5,6,3,5,5,3,정면충돌,3,차대차,10,승용차,30516,1,7,4,2,0,16,승용차,3,중앙선 침범,6,5,기타단일로,5,단일로,30516,10,16,82,충남,보령,487990,235,보령,00:00.0,24.4,0,0,0,87,0,27.5
27784,00:00.0,1,일,화물차,이륜차,8,14,82,2,1,9,3,15,15,2,기타,3,차대차,8,화물차,27784,1,2,0,1,0,14,이륜차,2,신호위반,9,1,교차로내,1,교차로,27784,8,14,82,충남,보령,489060,235,보령,00:00.0,21.4,0,2.4,20,69,0,23.3
22931,00:00.0,2,토,승용차,0,10,17,61,20,5,6,2,2,2,2,전도전복,2,차량단독,10,승용차,22931,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,22931,10,17,61,충남,부여,495288,236,부여,00:00.0,14.2,0,0.1,0,81,0,15.7
24135,00:00.0,1,토,원동기장치자전거,승용차,3,16,152,20,5,6,3,10,10,3,진행중 추돌,3,차대차,3,원동기장치자전거,24135,1,1,0,0,0,16,승용차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24135,3,16,152,전북,부안,510005,243,부안,00:00.0,-2.1,0,2.2,20,55,0,-0.8
27684,00:00.0,1,토,승합차,승합차,2,11,152,4,1,9,3,18,18,3,측면직각충돌,3,차대차,2,승합차,27684,1,12,7,4,0,11,승합차,4,직진 및 우회전차의 통행방해,9,1,교차로내,1,교차로,27684,2,11,152,전북,부안,516898,243,부안,00:00.0,18.4,0,4,140,37,0,15.3
22953,00:00.0,2,수,승용차,0,10,17,70,20,5,6,2,20,20,2,공작물충돌,2,차량단독,10,승용차,22953,1,1,0,0,0,17,0,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,22953,10,17,70,전북,정읍,529857,245,정읍,00:00.0,17.8,0,1.5,140,77,0,16.6
28962,00:00.0,2,목,자전거,이륜차,9,14,70,20,5,6,3,18,18,3,측면직각충돌,3,차대차,9,자전거,28962,1,3,1,1,0,14,이륜차,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,28962,9,14,70,전북,정읍,533741,245,정읍,00:00.0,13.8,0,0.7,360,48,0,13.1
24395,00:00.0,1,수,승용차,보행자,10,1,120,20,5,6,4,15,15,2,기타,4,차대사람,10,승용차,24395,1,1,0,0,0,1,보행자,20,안전운전 의무 불이행,6,5,기타단일로,5,단일로,24395,10,1,120,전북,남원,536113,247,남원,00:00.0,6.1,0,0.5,230,62,0,5.8
